ID,X,Y,datetime,population
A,715851.44751505,5505339.89910182,2016-11-01T00:00:54Z,1
A,715822.776234781,5505289.12700492,2016-11-01T02:01:22Z,1
A,715872.915382008,5505252.25541597,2016-11-01T04:01:24Z,1
A,715820.54958287,5505231.06233232,2016-11-01T06:01:05Z,1
A,715830.585415378,5505227.23129877,2016-11-01T08:01:11Z,1
A,715829.362068365,5505332.31674316,2016-11-01T10:01:18Z,1
A,715306.633674363,5505837.1555164,2016-11-01T12:00:49Z,1
A,715349.731931699,5505644.28594987,2016-11-01T14:01:23Z,1
A,715224.05322221,5505660.92321569,2016-11-01T16:00:51Z,1
A,714823.4291482,5505659.29872936,2016-11-01T18:01:16Z,1
A,715380.510541987,5505617.71795983,2016-11-01T20:00:36Z,1
A,715204.203254018,5505591.11731774,2016-11-01T22:00:55Z,1
A,715558.225598503,5505517.74177396,2016-11-02T00:00:54Z,1
A,715314.502642933,5505512.09112238,2016-11-02T02:01:48Z,1
A,715229.720545363,5505555.24810941,2016-11-02T04:01:46Z,1
A,715095.943055006,5505505.27995707,2016-11-02T06:00:44Z,1
A,715095.869832836,5505509.04542323,2016-11-02T08:00:42Z,1
A,715493.479350247,5505479.66242394,2016-11-02T10:01:13Z,1
A,715245.339731602,5505675.37622024,2016-11-02T12:01:22Z,1
A,715348.168601313,5505384.75441377,2016-11-02T14:00:55Z,1
A,715280.370942932,5505372.99715084,2016-11-02T16:00:55Z,1
A,715210.336849569,5505185.66715616,2016-11-02T18:00:54Z,1
A,714996.852719188,5505168.97808705,2016-11-02T20:01:24Z,1
A,714956.665409954,5505156.74735612,2016-11-02T22:01:12Z,1
A,714955.601387434,5505223.31099141,2016-11-03T00:01:42Z,1
A,714880.429380533,5505210.61699229,2016-11-03T02:00:55Z,1
A,715011.90793759,5505286.88089742,2016-11-03T04:00:59Z,1
A,714934.274796252,5505222.52716897,2016-11-03T06:02:18Z,1
A,714898.833008204,5505243.65137934,2016-11-03T08:00:48Z,1
A,714929.653867768,5505263.82089002,2016-11-03T10:01:13Z,1
A,715318.583300928,5505814.84549613,2016-11-03T12:01:19Z,1
A,715265.337836039,5505689.35420315,2016-11-03T14:00:56Z,1
A,715165.821040769,5505670.00505246,2016-11-03T16:01:28Z,1
A,714676.641686426,5505772.33853303,2016-11-03T18:00:48Z,1
A,713991.734446147,5505544.49535287,2016-11-03T20:00:57Z,1
A,713867.072978433,5505440.17859267,2016-11-03T22:00:54Z,1
A,713800.092822212,5505434.49048137,2016-11-04T00:01:23Z,1
A,713874.116200005,5505293.28880547,2016-11-04T02:01:33Z,1
A,713837.423942362,5505420.65720043,2016-11-04T04:01:24Z,1
A,713838.28094987,5505412.46056051,2016-11-04T06:00:48Z,1
A,713765.730344234,5505409.3197954,2016-11-04T08:00:55Z,1
A,713709.16730564,5505544.22897393,2016-11-04T10:00:58Z,1
A,714242.467949245,5505648.9997059,2016-11-04T12:02:16Z,1
A,714276.785095495,5505603.35080223,2016-11-04T14:00:48Z,1
A,714286.862355082,5505609.14821981,2016-11-04T16:00:41Z,1
A,714396.086822504,5505840.05402345,2016-11-04T18:01:04Z,1
A,715308.311157925,5505824.75738027,2016-11-04T20:00:51Z,1
A,715060.959263382,5505405.60839497,2016-11-04T22:00:45Z,1
